Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Restaurant or Food Service,EL FINO KABAB & SHAWARMA,11832 - 145 AVENUE NW,362489062-002,Issued,,"Dec 10, 2023",,3060,Caernarvon,Anirniq,53.607971,-113.526129,"(53.60797103084008, -113.52612907262765)",1,POINT (-113.52612907262765 53.60797103084008)
Cannabis Retail Sales,SPIRITLEAF,11835 - ST ALBERT TRAIL NW,369977412-002,Issued,,"Jan 11, 2024",The Crossroads,3410,Sherbrooke,Anirniq,53.570810,-113.548674,"(53.570810035702564, -113.54867408008128)",1,POINT (-113.54867408008128 53.570810035702564)
Alcohol Sales (Consumption Off-Premises),AD LIQUOR MART,11836 - WAYNE GRETZKY DRIVE NORTHBOUND NW,157658265-001,Issued,,"Jul 22, 2023",,2550,Montrose,Métis,53.571647,-113.452577,"(53.57164702421454, -113.45257660134733)",1,POINT (-113.45257660134733 53.57164702421454)
Restaurant or Food Service,COCKTAIL & WAFFLE,11842 - 145 AVENUE NW,453846628-002,Issued,,"Dec 12, 2024",,3060,Caernarvon,Anirniq,53.608016,-113.527007,"(53.608016030942025, -113.52700657241574)",1,POINT (-113.52700657241574 53.608016030942025)
Restaurant or Food Service,SUBWAY,11843 - ST ALBERT TRAIL NW,007481212-001,Issued,,"Dec 06, 2023",The Crossroads,3410,Sherbrooke,Anirniq,53.571251,-113.549034,"(53.571251035719584, -113.54903407985245)",1,POINT (-113.54903407985245 53.571251035719584)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",CARIBBEAN FINEST,11845 - WAYNE GRETZKY DRIVE SOUTHBOUND NW,352359290-002,Renewal Notice,,"Mar 31, 2023",,2550,Montrose,Métis,53.571341,-113.453238,"(53.571341024311266, -113.4532381013016)",1,POINT (-113.4532381013016 53.571341024311266)
Restaurant or Food Service,JASMINE PALACE,11850 - 145 AVENUE NW,352631735-002,Renewal Notice,,"Mar 11, 2023",,3060,Caernarvon,Anirniq,53.608016,-113.527007,"(53.608016030942025, -113.52700657241574)",1,POINT (-113.52700657241574 53.608016030942025)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",GINTARO KITCHEN,11850 - 145 AVENUE NW,446204200-002,Issued,,"Oct 05, 2023",,3060,Caernarvon,Anirniq,53.608016,-113.527007,"(53.608016030942025, -113.52700657241574)",1,POINT (-113.52700657241574 53.608016030942025)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",KNIGHTS PUB & GRILL,11860 - 145 AVENUE NW,365392382-002,Issued,,"Jul 12, 2023",,3060,Caernarvon,Anirniq,53.608016,-113.527007,"(53.608016030942025, -113.52700657241574)",1,POINT (-113.52700657241574 53.608016030942025)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales",7-ELEVEN FOOD STORES #24309,11868 - 145 AVENUE NW,007271478-001,Issued,,"Jan 22, 2024",,3060,Caernarvon,Anirniq,53.608016,-113.527007,"(53.608016030942025, -113.52700657241574)",1,POINT (-113.52700657241574 53.608016030942025)
Cannabis Retail Sales,LUCID CANNABIS,11908 - JASPER AVENUE NW,386759463-002,Issued,,"Mar 11, 2024",,1150,Oliver,O-day'min,53.541281,-113.527250,"(53.54128103488557, -113.52724959479369)",1,POINT (-113.52724959479369 53.54128103488557)
Restaurant or Food Service,THE LITTLE SPOT GASTRONOMIA LTD.,11909 - JASPER AVENUE NW,383063994-002,Issued,,"Jan 25, 2024",,1150,Oliver,O-day'min,53.540633,-113.527371,"(53.5406330349381, -113.52737109498375)",1,POINT (-113.52737109498375 53.5406330349381)
Restaurant or Food Service,ALL HOURS PIZZA & DONAIR,11920 - 129 AVENUE NW,077797268-001,Issued,,"Jun 15, 2023",,3070,Calder,Anirniq,53.587838,-113.527830,"(53.58783803222194, -113.52783007902491)",1,POINT (-113.52783007902491 53.58783803222194)
Restaurant or Food Service,STARBUCKS COFFEE#29208,11926 - 104 AVENUE NW,219542760-002,Issued,,"Dec 16, 2024",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
Restaurant or Food Service,FRESHII,11928 - 104 AVENUE NW,421602612-002,Issued,,"Mar 07, 2024",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",IKKI IZAKAYA,11931 - JASPER AVENUE NW,116562435-006,Issued,,"Dec 14, 2023",,1150,Oliver,O-day'min,53.540633,-113.527970,"(53.54063303500929, -113.52796959484972)",1,POINT (-113.52796959484972 53.54063303500929)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",NANDOS FLAME GRILLED CHICKEN (BREWERY),11940 - 104 AVENUE NW,223766543-006,Issued,,"Jun 02, 2024",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
Restaurant or Food Service,TIM HORTONS #2450,11940 - 111 AVENUE NW,035386661-001,Issued,,"Dec 08, 2024",Kingsway,1170,Prince Rupert,O-day'min,53.559839,-113.528123,"(53.55983903389918, -113.52812258837052)",1,POINT (-113.52812258837052 53.55983903389918)
"Restaurant or Food Service, Food Truck / Food Cart",TAMBAYAN NI KABAYAN BAKERY AND CAFE,11951 - 82 STREET NW,257918114-008,Issued,,"Jun 19, 2023",,1100,Eastwood,Métis,53.573231,-113.466788,"(53.57323102581223, -113.46678759762567)",1,POINT (-113.46678759762567 53.57323102581223)
Restaurant or Food Service,PAPA JOHN'S PIZZA,11955 - 82 STREET NW,353874429-002,Issued,,"Mar 10, 2024",,1100,Eastwood,Métis,53.573231,-113.466788,"(53.57323102581223, -113.46678759762567)",1,POINT (-113.46678759762567 53.57323102581223)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",CLEMENTINE,11957 - JASPER AVENUE NW,226879841-002,Renewal Notice,,"Mar 02, 2023",,1150,Oliver,O-day'min,53.540633,-113.528771,"(53.54063303510463, -113.52877059467033)",1,POINT (-113.52877059467033 53.54063303510463)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",TOAST CULTURE,11965 - JASPER AVENUE NW,308196311-002,Issued,,"May 20, 2024",,1150,Oliver,O-day'min,53.540633,-113.528771,"(53.54063303510463, -113.52877059467033)",1,POINT (-113.52877059467033 53.54063303510463)
Restaurant or Food Service,THE ALLEY,11966 - 104 AVENUE NW,390834721-002,Issued,,"Sep 28, 2023",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",TOKIWA RAMEN,11978 - 104 AVENUE NW,241215838-002,Issued,,"Mar 25, 2025",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
Restaurant or Food Service,DOUGHNUT PARTY,11980 - 104 AVENUE NW,362031838-002,Issued,,"Mar 03, 2024",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",WING SNOB,11988 - 104 AVENUE NW,355904797-002,Issued,,"Mar 11, 2025",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",SECRET PIZZA,11998 - 109A AVENUE NW,389233671-002,Issued,,"Apr 20, 2023",,1180,Queen Mary Park,O-day'min,53.556086,-113.528312,"(53.55608603414205, -113.52831158958826)",1,POINT (-113.52831158958826 53.55608603414205)
Alcohol Sales (Consumption Off-Premises),BELMONT LIQUOR LTD,"12, 13508 - VICTORIA TRAIL NW",007368891-002,Issued,,"Dec 31, 2024",,2070,Belmont,Dene,53.597486,-113.387592,"(53.59748601496142, -113.38759210726874)",1,POINT (-113.38759210726874 53.59748601496142)
Restaurant or Food Service,WOKBOX,"12, 13750 - 50 STREET NW",440766736-002,Issued,,"Sep 22, 2023",,2145,Clareview Town Centre,Dene,53.598566,-113.414493,"(53.598566018098445, -113.41449310085639)",1,POINT (-113.41449310085639 53.598566018098445)
Cannabis Retail Sales,VALUE BUDS AT MAYFIELD COMMON,120 - MAYFIELD COMMON NW,286329359-010,Issued,,"Nov 25, 2023",Stony Plain Road and Area,4060,Britannia Youngstown,Nakota Isga,53.543297,-113.611836,"(53.5432970448367, -113.61183607519203)",1,POINT (-113.61183607519203 53.5432970448367)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BIANCO INC.,"120, 10020 - 101A AVENUE NW",286613358-002,Issued,,"Apr 27, 2023",Downtown,1090,Downtown,O-day'min,53.542505,-113.491799,"(53.54250503059611, -113.4917986023267)",1,POINT (-113.4917986023267 53.54250503059611)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BOSTON PIZZA #278,"120, 10111 - 104 AVENUE NW",281593166-001,Issued,,"Nov 23, 2023",Downtown,1090,Downtown,O-day'min,53.545700,-113.494643,"(53.54570003074628, -113.4946426006179)",1,POINT (-113.4946426006179 53.54570003074628)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ZULA,"120, 14055 - WEST BLOCK DRIVE NW",445780586-002,Issued,,"Dec 13, 2023",Stony Plain Road and Area,3200,Glenora,Nakota Isga,53.543513,-113.564735,"(53.54351303921567, -113.56473458565324)",1,POINT (-113.56473458565324 53.54351303921567)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BOCA LOCA,"120, 3903 - 99 STREET NW",289587751-002,Issued,,"Nov 28, 2023",,6700,Strathcona Industrial Park,Karhiio,53.474483,-113.485391,"(53.47448303384887, -113.48539062651217)",1,POINT (-113.48539062651217 53.47448303384887)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",PIZZA 42 & DONAIR,"120, 8930 - JASPER AVENUE NW",355228801-002,Issued,,"Mar 25, 2024",,1020,Boyle Street,O-day'min,53.552720,-113.473848,"(53.55272002785944, -113.4738481029263)",1,POINT (-113.4738481029263 53.55272002785944)
Restaurant or Food Service,BLAZE PIZZA,12010 - 104 AVENUE NW,243137285-002,Issued,,"Apr 04, 2024",,1150,Oliver,O-day'min,53.547122,-113.528271,"(53.54712203466382, -113.52827109260565)",1,POINT (-113.52827109260565 53.54712203466382)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Spectator Entertainment",RHUBARB,12020 - 107 AVENUE NW,429517468-002,Issued,,"Dec 19, 2023",124 Street and Area,1180,Queen Mary Park,O-day'min,53.551388,-113.529896,"(53.55138803460652, -113.52989559081034)",1,POINT (-113.52989559081034 53.55138803460652)
Restaurant or Food Service,2293580 ALBERTA LTD.,12020 - 22 AVENUE SW,418972595-002,Issued,,"Nov 16, 2023",,5454,Rutherford,Ipiihkoohkanipiaohtsi,53.411798,-113.536524,"(53.411798043629716, -113.53652413594708)",1,POINT (-113.53652413594708 53.411798043629716)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",THE ASHFORD HOUSE,12026 - 107 AVENUE NW,451670247-002,Issued,,"Jan 29, 2024",124 Street and Area,1180,Queen Mary Park,O-day'min,53.551388,-113.529896,"(53.55138803460652, -113.52989559081034)",1,POINT (-113.52989559081034 53.55138803460652)
Restaurant or Food Service,FIFE N' DEKEL RESTAURANT,12028 - 149 STREET NW,007375572-001,Issued,,"Dec 31, 2023",,4330,Mitchell Industrial,Anirniq,53.572457,-113.578905,"(53.57245703920705, -113.57890507275961)",1,POINT (-113.57890507275961 53.57245703920705)
Restaurant or Food Service,MCDONALD'S,1203 - PARSONS ROAD NW,375581128-002,Issued,,"Oct 29, 2023",,6195,South Edmonton Common,Karhiio,53.440769,-113.481930,"(53.44076903543474, -113.48193013852173)",1,POINT (-113.48193013852173 53.44076903543474)
Restaurant or Food Service,WESTERN SANDWICH COMPANY,12032 - 107 AVENUE NW,451055599-002,Issued,,"Feb 28, 2024",124 Street and Area,1180,Queen Mary Park,O-day'min,53.551388,-113.529896,"(53.55138803460652, -113.52989559081034)",1,POINT (-113.52989559081034 53.55138803460652)
Restaurant or Food Service,DASBREZELHAUS,12042 - 107 AVENUE NW,446929785-002,Issued,,"Oct 04, 2023",124 Street and Area,1180,Queen Mary Park,O-day'min,53.551388,-113.529896,"(53.55138803460652, -113.52989559081034)",1,POINT (-113.52989559081034 53.55138803460652)
Cannabis Retail Sales,GREEN LEAF CANNABIS,12046 - FORT ROAD NW,395837462-002,Issued,,"May 18, 2023",,1100,Eastwood,Métis,53.574788,-113.460596,"(53.5747880249838, -113.46059559849238)",1,POINT (-113.46059559849238 53.5747880249838)
Alcohol Sales (Consumption Off-Premises),VALUE LIQUOR HUB,12068 - JASPER AVENUE NW,291159958-002,Issued,,"Sep 21, 2023",,1150,Oliver,O-day'min,53.541461,-113.530103,"(53.54146103521445, -113.53010259409436)",1,POINT (-113.53010259409436 53.54146103521445)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales",K & K MART,12070 - JASPER AVENUE NW,355074908-002,Issued,,"Oct 27, 2023",,1150,Oliver,O-day'min,53.541461,-113.530103,"(53.54146103521445, -113.53010259409436)",1,POINT (-113.53010259409436 53.54146103521445)
Restaurant or Food Service,WETZELS PRETZELS,"1208, 8882 - 170 STREET NW",355603555-002,Issued,,"Jul 12, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",BOSTON PIZZA,12104 - 137 AVENUE NW,007260257-001,Renewal Notice,,"Mar 11, 2023",,3020,Baranow,Anirniq,53.600753,-113.532830,"(53.60075303206106, -113.53282957355691)",1,POINT (-113.53282957355691 53.60075303206106)
Restaurant or Food Service,WORLDS FINEST DONAIR & PIZZA,12106 - JASPER AVENUE NW,059975974-001,Issued,,"Sep 29, 2023",124 Street and Area,1150,Oliver,O-day'min,53.541254,-113.531174,"(53.54125403535404, -113.53117359392391)",1,POINT (-113.53117359392391 53.54125403535404)
Restaurant or Food Service,SAFARTAS RESTAURANT LTD.,12110 - 161 AVENUE NW,445866278-002,Issued,,"Sep 21, 2023",,3180,Dunluce,Anirniq,53.622389,-113.534153,"(53.62238903095304, -113.53415256596818)",1,POINT (-113.53415256596818 53.62238903095304)
Restaurant or Food Service,BASEMENT CAFE,12110 - 17 STREET NE,351486886-002,Issued,,"Feb 26, 2024",,2160,Clover Bar Area,Dene,53.573177,-113.323733,"(53.57317700880557, -113.32373262980418)",1,POINT (-113.32373262980418 53.57317700880557)
Alcohol Sales (Consumption Off-Premises),121 JASPER LIQUOR,12110 - JASPER AVENUE NW,258188955-002,Issued,,"Jul 27, 2024",124 Street and Area,1150,Oliver,O-day'min,53.541254,-113.531174,"(53.54125403535404, -113.53117359392391)",1,POINT (-113.53117359392391 53.54125403535404)
Restaurant or Food Service,WATTS COOKING,12116 - 107 STREET NW,274990043-002,Issued,,"May 14, 2023",Kingsway,1111,Blatchford Area,O-day'min,53.576273,-113.506811,"(53.576273030397196, -113.50681058762592)",1,POINT (-113.50681058762592 53.576273030397196)
Restaurant or Food Service,MOONLIGHT RESTAURANT PIZZA & DONAIR LTD.,12118 - 90 STREET NW,436855769-002,Issued,,"Jul 20, 2023",,1010,Alberta Avenue,Métis,53.575445,-113.480175,"(53.575445027275265, -113.48017509387793)",1,POINT (-113.48017509387793 53.575445027275265)
Cannabis Retail Sales,VALUE BUDS AT JASPER AVE 121,12120 - JASPER AVENUE NW,286660760-014,Issued,,"Nov 18, 2023",124 Street and Area,1150,Oliver,O-day'min,53.541299,-113.531669,"(53.54129903541032, -113.53166859379797)",1,POINT (-113.53166859379797 53.54129903541032)
Restaurant or Food Service,YOGEN FRUZ,"1213, 8882 - 170 STREET NW",109102824-001,Issued,,"May 23, 2023",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",THE GREENHOUSE AT VICTORIA,12130 - RIVER VALLEY ROAD NW,353020128-002,Issued,,"May 11, 2023",,1200,River Valley Victoria,O-day'min,53.535530,-113.523371,"(53.53553003476222, -113.52337059759064)",1,POINT (-113.52337059759064 53.53553003476222)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ROYAL PIZZA,1214 - 101 STREET SW,177459916-002,Issued,,"Nov 09, 2024",,6214,Ellerslie Industrial,Karhiio,53.422895,-113.490800,"(53.42289503754722, -113.49079964248241)",1,POINT (-113.49079964248241 53.42289503754722)
"Alcohol Sales (Consumption Off-Premises), Food Processing / Catering Service",SAWMILL BANQUET & CATERING SERVICES 2022 INC.,12165 - FORT ROAD NW,437198920-002,Issued,,"Dec 05, 2024",,1270,Yellowhead Corridor East,Métis,53.576498,-113.458593,"(53.57649802464493, -113.45859309836743)",1,POINT (-113.45859309836743 53.57649802464493)
Restaurant or Food Service,FUWA FUWA JAPANESE PANCAKES WINDERMERE,1217 - WINDERMERE WAY SW,452453769-002,Issued,,"Nov 23, 2023",,5570,Windermere,pihêsiwin,53.435990,-113.615990,"(53.43599005163491, -113.61598961015359)",1,POINT (-113.61598961015359 53.43599005163491)
Alcohol Sales (Consumption Off-Premises),ACE LIQUOR DISCOUNTER AT WESTMOUNT #514,"122, 1 - WESTMOUNT SHOPPING CENTRE NW",007448461-002,Issued,,"Sep 22, 2023",The Crossroads,3450,Woodcroft,Anirniq,53.561288,-113.553570,"(53.561288036843834, -113.55357008218456)",1,POINT (-113.55357008218456 53.561288036843834)
Cannabis Retail Sales,FIRE & FLOWER CANNABIS CO,"122, 9080 - 25 AVENUE SW",291278096-009,Issued,,"Aug 06, 2023",,6213,Summerside,Karhiio,53.410745,-113.481584,"(53.41074503717561, -113.48158364858185)",1,POINT (-113.48158364858185 53.41074503717561)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales",7-ELEVEN FOOD STORES #14826,12203 - 97 STREET NW,007256704-001,Issued,,"Feb 02, 2024",,1080,Delton,Métis,53.576768,-113.491475,"(53.57676802854244, -113.49147459089866)",1,POINT (-113.49147459089866 53.57676802854244)
Restaurant or Food Service,MASHAWI HOUSE,12204 - 137 AVENUE NW,348761607-002,Renewal Notice,,"Mar 22, 2023",,3020,Baranow,Anirniq,53.600753,-113.532830,"(53.60075303206106, -113.53282957355691)",1,POINT (-113.53282957355691 53.60075303206106)
Restaurant or Food Service,BOARD OF GOVERNORS OF NAIT (PATRICIA TRADES CAMPUS),12204 - 149 STREET NW,007373550-001,Issued,,"Dec 31, 2023",,4330,Mitchell Industrial,Anirniq,53.575301,-113.579801,"(53.57530103914733, -113.57980057160272)",1,POINT (-113.57980057160272 53.57530103914733)
Restaurant or Food Service,NAIT - PATRICIA CAMPUS - PLATES # 67333,12204 - 149 STREET NW,407775457-002,Issued,,"Sep 13, 2023",,4330,Mitchell Industrial,Anirniq,53.575301,-113.579801,"(53.57530103914733, -113.57980057160272)",1,POINT (-113.57980057160272 53.57530103914733)
Restaurant or Food Service,BANH MI NHON HOA,12208 - 137 AVENUE NW,422612807-002,Issued,,"Jun 27, 2023",,3020,Baranow,Anirniq,53.600753,-113.532830,"(53.60075303206106, -113.53282957355691)",1,POINT (-113.53282957355691 53.60075303206106)
"Restaurant or Food Service, Retail Sales (Minor)",EUROPEAN SWEETNESS,12212 - 107 AVENUE NW,066635698-005,Issued,,"Jun 21, 2023",124 Street and Area,3440,Westmount,O-day'min,53.551145,-113.532893,"(53.55114503497747, -113.5328925902206)",1,POINT (-113.5328925902206 53.55114503497747)
Restaurant or Food Service,A & W RESTAURANT,12222 - 137 AVENUE NW,101740916-001,Issued,,"Sep 25, 2023",,3090,Carlisle,Anirniq,53.601914,-113.531565,"(53.60191403184242, -113.53156507344936)",1,POINT (-113.53156507344936 53.60191403184242)
"Restaurant or Food Service, Bingo / Casino",CASTLEDOWNS BINGO ASSOCIATION CONCESSION,12222 - 137 AVENUE NW,007264362-001,Issued,,"Jan 10, 2024",,3090,Carlisle,Anirniq,53.601914,-113.531565,"(53.60191403184242, -113.53156507344936)",1,POINT (-113.53156507344936 53.60191403184242)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Food Processing / Catering Service, Food Truck / Food Cart",EL MERO MERO TAQUIERA,12223 - 156 STREET NW,432137859-002,Issued,,"Jun 23, 2024",,4330,Mitchell Industrial,Anirniq,53.575697,-113.588850,"(53.57569704020241, -113.58885006944448)",1,POINT (-113.58885006944448 53.57569704020241)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Food Processing / Catering Service",THE BUTCHERY BY RGE RD,12229 - 107 AVENUE NW,376879180-002,Issued,,"Dec 02, 2024",124 Street and Area,3440,Westmount,O-day'min,53.550713,-113.533631,"(53.55071303509071, -113.5336305902003)",1,POINT (-113.5336305902003 53.55071303509071)
Restaurant or Food Service,DAIRY QUEEN GRILL & CHILL,1223 - WINDERMERE WAY SW,165593729-001,Issued,,"Dec 30, 2023",,5570,Windermere,pihêsiwin,53.435990,-113.615990,"(53.43599005163491, -113.61598961015359)",1,POINT (-113.61598961015359 53.43599005163491)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Participant Recreation Service",DRAGONS HEAD PAR 3 GOLF CLUB,12240 - 199 STREET NW,358477210-002,Issued,,"May 03, 2024",,4478,Pintail Landing,Nakota Isga,53.576408,-113.671866,"(53.57640805005738, -113.67186605064919)",1,POINT (-113.67186605064919 53.57640805005738)
Alcohol Sales (Consumption Off-Premises),LIQUOR FORT HUB,12251 - FORT ROAD NW,440882222-002,Issued,,"Jul 26, 2023",,1270,Yellowhead Corridor East,Métis,53.578226,-113.456514,"(53.57822602429589, -113.45651409825362)",1,POINT (-113.45651409825362 53.57822602429589)
Restaurant or Food Service,CHOPPED LEAF WINDERMERE,1229 - WINDERMERE WAY SW,169255812-002,Issued,,"Apr 19, 2023",,5570,Windermere,pihêsiwin,53.435990,-113.615990,"(53.43599005163491, -113.61598961015359)",1,POINT (-113.61598961015359 53.43599005163491)
Alcohol Sales (Consumption Off-Premises),T'S LIQUOR STORE,12305 - 118 AVENUE NW,383714098-002,Issued,,"Jan 26, 2024",The Crossroads,3240,Inglewood,Anirniq,53.570009,-113.534661,"(53.57000903408081, -113.53466108348933)",1,POINT (-113.53466108348933 53.57000903408081)
Restaurant or Food Service,ROADRUNNER PIZZA,12311 - 115 AVENUE NW,079797415-001,Issued,,"Oct 21, 2024",The Crossroads,3240,Inglewood,Anirniq,53.565077,-113.535422,"(53.565077034460685, -113.5354215849761)",1,POINT (-113.5354215849761 53.565077034460685)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",HIGH NOTE,12315 - 118 AVENUE NW,358471941-002,Issued,,"Jun 21, 2024",The Crossroads,3240,Inglewood,Anirniq,53.570009,-113.534661,"(53.57000903408081, -113.53466108348933)",1,POINT (-113.53466108348933 53.57000903408081)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",THE CAPTAINS BOIL,12320 - 137 AVENUE NW,346385999-002,Issued,,"Jan 14, 2025",,3020,Baranow,Anirniq,53.600852,-113.536727,"(53.600852032519626, -113.5367265726501)",1,POINT (-113.5367265726501 53.600852032519626)
Cannabis Retail Sales,GLENORA CANNABIS,12321 - 107 AVENUE NW,286073824-005,Issued,,"Jun 06, 2023",124 Street and Area,3440,Westmount,O-day'min,53.550785,-113.535390,"(53.550785035295895, -113.53539008978208)",1,POINT (-113.53539008978208 53.550785035295895)
"Restaurant or Food Service, Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",PETRO-CANADA A&W,12326 - 111 AVENUE NW,398282321-002,Issued,,"Jul 18, 2023",The Crossroads,3240,Inglewood,Anirniq,53.559290,-113.535413,"(53.55929003479924, -113.53541258692185)",1,POINT (-113.53541258692185 53.55929003479924)
Restaurant or Food Service,KUSINA FILIPINO TAKE OUT & CATERING,12329 - 97 STREET NW,281249410-009,Issued,,"Jul 16, 2023",,1080,Delton,Métis,53.579342,-113.491767,"(53.579342028426105, -113.49176708996794)",1,POINT (-113.49176708996794 53.579342028426105)
Restaurant or Food Service,PANAGO PIZZA WINDERMERE,1233 - WINDERMERE WAY SW,295898292-002,Issued,,"Nov 03, 2023",,5570,Windermere,pihêsiwin,53.435990,-113.615990,"(53.43599005163491, -113.61598961015359)",1,POINT (-113.61598961015359 53.43599005163491)
Restaurant or Food Service,MCDONALD'S,12350 - 118 AVENUE NW,254667581-002,Issued,,"Jul 13, 2023",The Crossroads,3350,Prince Charles,Anirniq,53.570846,-113.535417,"(53.57084603412174, -113.53541708303867)",1,POINT (-113.53541708303867 53.57084603412174)
"Alcohol Sales (Consumption Off-Premises), Retail Sales (Minor)",REAL CANADIAN LIQUOR STORE,12350 - 137 AVENUE NW,167309852-002,Renewal Notice,,"Apr 13, 2023",,3020,Baranow,Anirniq,53.600852,-113.536727,"(53.600852032519626, -113.5367265726501)",1,POINT (-113.5367265726501 53.600852032519626)
Restaurant or Food Service,BENTO SUSHI,12350 - 137 AVENUE NW,257416791-002,Issued,,"Aug 16, 2023",,3020,Baranow,Anirniq,53.600852,-113.536727,"(53.600852032519626, -113.5367265726501)",1,POINT (-113.5367265726501 53.600852032519626)
"Restaurant or Food Service, Retail Sales (Major), Food Processing / Catering Service, Tobacco and Vaping Product Sales",THE REAL CANADIAN SUPERSTORE,12350 - 137 AVENUE NW,007255727-001,Issued,,"Dec 31, 2023",,3020,Baranow,Anirniq,53.600852,-113.536727,"(53.600852032519626, -113.5367265726501)",1,POINT (-113.5367265726501 53.600852032519626)
"Alcohol Sales (Consumption Off-Premises), Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",FLAME & BARREL: RESTAURANT + BAR AFFAIR,1237 - WINDERMERE WAY SW,417096490-002,Issued,,"Mar 15, 2025",,5570,Windermere,pihêsiwin,53.435990,-113.615990,"(53.43599005163491, -113.61598961015359)",1,POINT (-113.61598961015359 53.43599005163491)
Restaurant or Food Service,KFC #1723,12408 - 111 AVENUE NW,125228943-001,Issued,,"Jul 17, 2023",The Crossroads,3240,Inglewood,Anirniq,53.559146,-113.536430,"(53.559146034928744, -113.53642958674241)",1,POINT (-113.53642958674241 53.559146034928744)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Retail Sales (Minor), Participant Recreation Service",GLENDALE GOLF & COUNTRY CLUB,12410 - 199 STREET NW,007254917-001,Issued,,"Jan 31, 2024",,4478,Pintail Landing,Nakota Isga,53.581205,-113.670624,"(53.58120504962981, -113.67062404931112)",1,POINT (-113.67062404931112 53.58120504962981)
